name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
PG 1322+65,Hu2021,30.3,98.51572812363746,96.25175722123652,39.60347692792706,39.98854858330838,0.5596330275229358,0.168,974.0,9.0,9.0,87,61,292,292,5.070000000000001e+44,2
PG 1404+226 ,Hu2021,21.4,37.58780617881662,37.7684042923366,10.564222471824067,15.561810325834035,0.5044642857142857,0.098,1120.0,5.0,5.0,92,113,175,175,1.28e+44,0
PG 1617+175 ,Hu2021,34.3,67.59338527679695,64.05501424701842,3.289781427125547,8.92327295231334,1.0,0.114,172.0,5.0,5.0,34,35,245,245,2.96e+44,0
Mrk 335,Hu2021,17.0,12.646042438352817,12.80255880495583,0.06534808136507664,2.030595833436882,0.9104477611940298,0.02579,200.0,3.0,3.0,44,61,345,345,2.7e+43,0
PG 1440+356,Hu2021,34.5,52.623440880256695,53.23170831803616,15.649847994589756,17.202206535547667,0.533678756476684,0.079,1157.0,6.0,6.0,109,103,314,314,2.07e+44,0
PG 0838+770,Hu2021,43.1,34.87293403174434,34.07097458798727,8.160758881617362,10.087514509585088,0.5705521472392638,0.1316,976.0,6.0,6.0,102,93,181,181,1.15e+44,0
PG 1115+407,Hu2021,54.4,58.87411495651086,57.676101327647515,9.744171894880594,19.790405743523102,0.6391752577319587,0.1542,579.0,6.0,6.0,62,62,201,201,2.4300000000000005e+44,0
[HSN2016] J211.31+25.92,Hu2021,95.9,104.15992082757835,100.66728482820074,23.842533062738255,86.01449901361201,0.5873015873015873,0.1643,438.0,7.0,7.0,41,37,280,280,5.490000000000001e+44,0
PG 1415+451,Hu2021,30.0,45.8473507045409,45.32907189937954,16.558297184018933,13.839760438238088,0.5185185185185185,0.1132,1130.0,7.0,7.0,93,84,201,201,1.7000000000000001e+44,0
PG 1448+273,Hu2021,30.1,46.22425420241958,45.24658442492173,8.895929579706511,15.343919152502576,0.5705521472392638,0.0646,975.0,6.0,6.0,94,93,222,222,1.7200000000000002e+44,0
DES J034028.46-292902.41,McDougall2025,16.0,96.16122783836609,96.43389098476872,36.66886070534751,50.8473305628076,0.5277777777777778,0.31,2150.0,-1.0,60.833333333333336,18,19,-1,100,4.897788193684436e+44,2
RM029,Shen2024,10.706741892819208,31.72944892881533,32.39682936674781,16.789662641039918,13.172401663654426,0.5303030303030303,0.815814553393883,2368.987,11.969000000000051,11.969000000000051,90,105,11,11,1.0048224456569024e+44,2
PG 1519+226,Hu2021,73.1,69.81571429074062,66.96744692600328,25.648600510383858,24.281052234762157,0.584,0.1351,871.0,7.0,7.0,79,73,311,311,3.1000000000000004e+44,0
PG 1535+547,Hu2021,25.9,24.635911086598487,23.635628503735578,1.3741566184969578,1.480953824767532,0.9387755102040817,0.0385,194.0,4.0,4.0,36,46,408,408,7e+43,0
PG 1552+085,Hu2021,25.0,50.46894518508837,48.4672867441303,14.106968139497745,15.829184135647111,0.5873015873015873,0.1187,878.0,7.0,7.0,66,74,223,223,1.95e+44,1
PG 1626+554,Hu2021,77.1,84.03630634630277,76.60326370602672,19.32724469655267,51.37989750836999,0.6372549019607843,0.1316,507.0,5.0,5.0,67,65,-1,100,4.0400000000000005e+44,0
RM016,Grier2017,32.0,114.8153621496877,18.987705164202158,19.20595464884816,34.91991754336029,1.0,0.8497638180216529,176.98000000000047,4.037100000000464,4.037100000000464,32,44,16,16,6.309573444801891e+44,3
RM017,Grier2017,25.5,26.915348039269098,26.249815931987897,3.467040547323414,6.489123982034506,1.0,0.4565020752060682,176.98000000000047,4.037100000000464,4.037100000000464,32,44,28,28,7.943282347242789e+43,0
RM021,Grier2017,43.9,70.79457843841377,18.919062903763585,16.68932372794819,33.45686913507666,1.0,1.027185500417937,176.98000000000047,4.037100000000464,4.037100000000464,32,44,6,6,3.1622776601683794e+44,3
RM033,Grier2017,26.5,37.15352290971734,32.70392381731363,8.488751853238064,25.759848222051154,1.0,0.7150925219095368,176.98000000000047,4.037100000000464,4.037100000000464,32,44,19,19,1.2589254117941713e+44,0
RM101,Grier2017,21.4,60.25595860743562,40.5858997507602,12.309034453517917,42.83268843443495,1.0,0.457769277152676,176.98000000000047,4.037100000000464,4.037100000000464,32,44,92,92,2.5118864315095717e+44,1
RM160,Grier2017,21.9,22.90867652767763,22.290570841221154,2.1956305535060103,2.336417017623159,1.0,0.3598248558032997,176.98000000000047,4.037100000000464,4.037100000000464,32,44,49,49,6.309573444801891e+43,0
RM033,Shen2024,30.725889005384964,59.10265443205514,59.39378491815239,18.137593634156985,21.380318452190274,0.5392670157068062,0.7150925219095368,2368.987,12.427499999999782,12.427499999999782,89,103,47,47,2.443486706525892e+44,0
RM177,Grier2017,10.1,31.62277660168379,30.380470642667227,4.23159030378406,6.245918444366115,1.0,0.48202777388913387,176.98000000000047,4.037100000000464,4.037100000000464,32,44,38,38,1e+44,2
RM191,Grier2017,8.5,16.59586907437565,15.458995515110148,5.565480141339945,7.8054298042551515,1.0,0.4418876212683127,176.98000000000047,4.037100000000464,4.037100000000464,32,44,13,13,3.9810717055349854e+43,0
RM215,Grier2017,32.9,43.65158322401679,27.202387046991507,13.708289535491783,35.98426003066593,1.0,0.8848040766215153,176.98000000000047,4.037100000000464,4.037100000000464,32,44,11,11,1.5848931924611238e+44,3
RM229,Grier2017,16.2,16.59586907437565,15.300557073908847,4.255567834016253,5.510816331193688,1.0,0.4698148608852726,176.98000000000047,4.037100000000464,4.037100000000464,32,44,15,15,3.9810717055349854e+43,0
